"Name","Province","Climate ID","Station ID","WMO ID","TC ID","Latitude (Decimal Degrees)","Longitude (Decimal Degrees)","Latitude","Longitude","Elevation (m)","First Year","Last Year","HLY First Year","HLY Last Year","DLY First Year","DLY Last Year","MLY First Year","MLY Last Year"
"TUNDRA MINE","NORTHWEST TERRITORIES","2203920","1701","","","64.03","-111.17","640200000","-1111000000","470.9","1963","1967","","","1963","1967","1963","1967"
"TUNGSTEN","NORTHWEST TERRITORIES","2203922","1702","","","61.95","-128.25","615700000","-1281500000","1143","1966","1990","","","1966","1990","1966","1990"
"TUNUNUK","NORTHWEST TERRITORIES","2203925","1703","","","69.02","-134.68","690100000","-1344100000","48.8","1959","1963","","","1959","1963","1959","1963"
"TWIN GORGES","NORTHWEST TERRITORIES","2203933","1704","","","60.25","-111.8","601500000","-1114800000","237.7","1967","1970","","","1967","1970","1967","1970"
"VIRGINIA FALLS","NORTHWEST TERRITORIES","2203943","8947","","WFV","61.63","-125.8","613800000","-1254800000","609.6","1994","2009","1994","2004","1994","2009","1998","2002"
"WEKWEETI A","NORTHWEST TERRITORIES","2203980","50721","","YWE","64.19","-114.08","641127000","-1140436000","368.2","2012","2021","2012","2021","2018","2021","",""
"WRIGLEY A","NORTHWEST TERRITORIES","2204000","1705","","YWY","63.21","-123.44","631234000","-1232612000","149.7","1943","2015","1957","2015","1943","2015","1943","2007"
"WRIGLEY A","NORTHWEST TERRITORIES","2204001","53600","","YWY","63.21","-123.44","631235000","-1232612000","149.7","2015","2021","2015","2021","","","",""
"WRIGLEY A","NORTHWEST TERRITORIES","2204005","53601","","YWY","63.21","-123.44","631235000","-1232612000","149.7","2015","2021","2015","2021","2018","2021","",""
"YELLOWKNIFE A","NORTHWEST TERRITORIES","2204100","1706","71936","YZF","62.46","-114.44","622746000","-1142625000","205.7","1942","2013","1953","2013","1942","2013","1942","2007"
"YELLOWKNIFE A","NORTHWEST TERRITORIES","2204101","51058","71936","YZF","62.46","-114.44","622747000","-1142625000","205.7","2013","2021","2013","2021","2013","2021","",""
"YELLOWKNIFE-HENDERSON","NORTHWEST TERRITORIES","2204110","45467","","","62.45","-114.38","622700000","-1142300000","200","2006","2021","","","2006","2021","2006","2007"
"YELLOWKNIFE CS","NORTHWEST TERRITORIES","2204155","27338","","","62.47","-114.45","622800000","-1142700000","210","1997","2004","","","1997","2004","1997","2004"
"YELLOWKNIFE HYDRO","NORTHWEST TERRITORIES","2204200","1707","","","62.67","-114.25","624000000","-1141500000","159.4","1943","2000","","","1943","2000","1943","2000"
"YOHIN","NORTHWEST TERRITORIES","2204300","1635","71020","XYH","61.24","-123.74","611431000","-1234430000","204","1957","2021","1973","2021","1957","2021","1957","2007"
"LIVERPOOL BAY","NORTHWEST TERRITORIES","220B68C","10823","71960","WLI","69.6","-130.91","693615000","-1305438000","101.9","1992","2021","1994","2021","1992","2021","2005","2007"
"LITTLE CHICAGO","NORTHWEST TERRITORIES","220B6Q3","10760","71164","WLG","67.18","-130.23","671045000","-1301341000","62.5","1993","2021","1994","2021","1993","2021","2005","2007"
"LITTLE DOCTOR LAKE","NORTHWEST TERRITORIES","220BFH3","1621","","","61.9","-123.25","615400000","-1231500000","215.8","1974","1985","","","1974","1985","1974","1985"
"TUKTOYAKTUK 1","NORTHWEST TERRITORIES","220C9JK","10845","","","69.44","-133","692637000","-1325957000","17.3","1992","1993","1992","1993","1993","1993","",""
"SAMBAA K'E","NORTHWEST TERRITORIES","220CQHR","10880","71166","WTE","60.44","-121.24","602627000","-1211420000","498","1994","2021","1994","2021","1994","2021","2006","2007"
"MARIAN LAKE TOWER","NORTHWEST TERRITORIES","220K68F","1622","","","63.07","-116.88","630400000","-1165300000","294.7","1974","1975","","","1974","1975","1974","1975"
"GREAT SLAVE LAKE BUOY","NORTHWEST TERRITORIES","220KLML","10886","45141","","61.18","-115.32","611038000","-1151924000","156.3","1997","2001","","","1997","2001","",""
"LUTSELK'E A","NORTHWEST TERRITORIES","220L001","27797","","YLK","62.42","-110.68","622507000","-1104056000","178.6","1999","2016","1999","2015","1999","2016","1999","2007"
"LUTSELK'E CS","NORTHWEST TERRITORIES","220L002","29451","71529","XLU","62.42","-110.69","622456030","-1104125070","178.9","1999","2017","1999","2017","2000","2017","2000","2007"
"GRAY LAKE","NORTHWEST TERRITORIES","220LBQK","10929","","WJP","61.92","-108.43","615500000","-1082600000","451.1","1994","2001","1994","2001","1994","2001","1996","2000"
"STORM HILLS","NORTHWEST TERRITORIES","220LQJJ","10824","71052","WVH","68.91","-133.94","685439000","-1335630000","261.4","1993","2021","1999","2021","1993","2021","2000","2000"
"EKATI A","NORTHWEST TERRITORIES","220N001","27240","","YOA","64.7","-110.61","644156000","-1103653000","468.2","1997","2016","1997","2016","1998","2016","1998","2007"
"LINDBURG LANDING","NORTHWEST TERRITORIES","220N003","27608","71682","XLL","61.13","-122.85","610730000","-1225104000","183","1998","2021","1998","2021","1998","2021","1998","2007"
"LOWER CARP LAKE","NORTHWEST TERRITORIES","220N004","27610","71680","XLC","63.6","-113.86","633610080","-1135145040","373.4","1992","2020","1992","2020","1998","2020","1998","2006"
"TRAIL VALLEY","NORTHWEST TERRITORIES","220N005","27620","71683","XTV","68.75","-133.5","684446800","-1333006400","85","1998","2021","1998","2021","1998","2021","2002","2006"
"ARVIAT AWOS","NUNAVUT","2300426","47427","","YEK","61.1","-94.07","610600000","-940400000","10.4","2008","2012","2008","2012","2008","2012","",""
"ARVIAT A","NUNAVUT","2300427","50557","71174","YEK","61.09","-94.07","610538000","-940418000","10.4","2012","2021","2012","2021","2012","2021","",""
"ARVIAT A","NUNAVUT","2300428","50718","","YEK","61.09","-94.07","610538000","-940418000","10.4","2012","2021","2012","2021","","","",""
"BAKER LAKE A","NUNAVUT","2300500","1709","71926","YBK","64.3","-96.08","641756000","-960440000","18.6","1946","2013","1953","2013","1946","2013","1946","2013"
"BAKER LAKE CLIMATE","NUNAVUT","2300501","42583","71356","XBL","64.32","-96","641900000","-960000000","50.8","2004","2021","2004","2021","2004","2021","2005","2007"
"BAKER LAKE A","NUNAVUT","2300503","51417","71926","YBK","64.3","-96.08","641756000","-960440000","18.6","2013","2021","2013","2021","2013","2021","",""
"BAKER LAKE A","NUNAVUT","2300504","54138","","YBK","64.3","-96.08","641756000","-960440000","18.6","2016","2021","2016","2021","2018","2021","",""
"BATHURST INLET","NUNAVUT","2300550","1628","","","66.83","-108.02","665000000","-1080100000","13.4","1958","1962","","","1958","1962","1958","1962"
"BATHURST INLET","NUNAVUT","2300551","50657","71874","NBI","66.84","-108.01","665015050","-1080053030","5","2012","2021","2012","2021","2012","2021","",""
"BERNARD HARBOUR","NUNAVUT","2300555","1630","","","68.78","-114.83","684700000","-1145000000","64.6","1959","1993","1992","1993","1959","1993","1959","1963"
"BERNARD HARBOUR","NUNAVUT","2300556","54778","73231","PIN","68.76","-114.94","684519000","-1145623000","61.5","2021","2021","2021","2021","2021","2021","",""
"CAPE PEEL","NUNAVUT","2300680","1634","","","69.05","-107.32","690300000","-1071900000","58.5","1959","1963","","","1959","1963","1959","1963"
"CHESTERFIELD","NUNAVUT","2300700","1710","","","63.33","-90.72","632000000","-904300000","6.4","1930","1984","1953","1984","1930","1981","1930","1981"
"CHESTERFIELD INLET A","NUNAVUT","2300701","51998","","YCS","63.35","-90.73","632050000","-904352000","9.8","2013","2021","2013","2021","","","",""
"CHESTERFIELD INLET","NUNAVUT","2300705","1711","","","63.75","-91.83","634500000","-915000000","14.6","1921","1931","","","1921","1931","1922","1931"
"CHESTERFIELD INLET A","NUNAVUT","2300707","1712","","YCS","63.35","-90.73","632049000","-904352000","9.8","1985","2014","1985","2013","1985","2014","1985","2007"
"CHESTERFIELD INLET A","NUNAVUT","2300710","52968","","YCS","63.35","-90.73","632050000","-904352000","9.8","2014","2021","2014","2021","2018","2021","",""
"CLINTON POINT","NUNAVUT","2300750","1637","71053","WXK","69.58","-120.8","693500000","-1204800000","100.6","1957","1993","1958","1993","1957","1993","1957","1993"
"CONTWOYTO LAKE","NUNAVUT","2300850","1639","","","65.48","-110.37","652900000","-1102200000","451.4","1956","1981","1956","1981","1959","1981","1959","1981"
"COPPERMINE","NUNAVUT","2300900","1640","","","67.83","-115.12","675000000","-1150700000","9.1","1930","1977","1953","1977","1930","1977","1930","1977"
"KUGLUKTUK A","NUNAVUT","2300902","1641","71938","YCO","67.82","-115.14","674900000","-1150838000","22.6","1977","2014","1978","2014","1977","2014","1977","2014"
"KUGLUKTUK A","NUNAVUT","2300903","53335","71938","YCO","67.82","-115.14","674900000","-1150838000","22.6","2014","2021","2014","2021","2014","2021","",""
"KUGLUKTUK CLIMATE","NUNAVUT","2300904","43003","71332","NCO","67.82","-115.14","674902004","-1150807000","22.6","2004","2021","2005","2021","2004","2021","2005","2007"
"KUGLUKTUK A","NUNAVUT","2300905","54158","","YCO","67.82","-115.14","674900000","-1150838000","22.6","2016","2021","2016","2021","2018","2021","",""
"ARVIAT A","NUNAVUT","2300MKF","1708","","YEK","61.1","-94.07","610600000","-940400000","10.4","1973","2016","1984","2012","1973","2016","1973","2007"
"BACK RIVER (AUT)","NUNAVUT","2300MQM","10723","","WXV","66.09","-96.51","660510014","-963039000","61","1994","2004","1994","2004","1995","2004","1999","2003"
"CORAL HARBOUR A","NUNAVUT","2301000","1713","71915","YZS","64.19","-83.36","641136000","-832134000","62.2","1933","2015","1953","2015","1933","2015","1933","2015"
"CORAL HARBOUR A","NUNAVUT","2301002","53421","71915","YZS","64.19","-83.36","641136000","-832134000","62.2","2015","2021","2015","2021","2015","2021","",""
"CORAL HARBOUR A","NUNAVUT","2301004","54220","","YZS","64.19","-83.36","641136000","-832134000","62.2","2016","2021","2016","2021","2018","2021","",""
"CORAL HARBOUR RCS","NUNAVUT","2301010","47347","71134","NZS","64.18","-83.35","641100000","-832100000","57","2014","2021","2014","2021","2014","2021","",""
"ELLICE RIVER (AUT)","NUNAVUT","2301094","10895","","WEV","67.72","-104.47","674300000","-1042800000","42","1994","2007","1994","2003","1994","2007","2006","2006"
"ENNADAI LAKE","NUNAVUT","2301100","1714","","","61.13","-100.9","610800000","-1005400000","324.6","1949","1979","1953","1979","1949","1979","1949","1979"
"ENNADAI LAKE (AUT)","NUNAVUT","2301102","7341","71923","WJC","61.13","-100.88","610755000","-1005302000","353.1","1994","2021","1994","2021","1994","2021","1998","2007"
"ARVIAT CLIMATE","NUNAVUT","2301153","41576","71322","XAR","61.1","-94.07","610600000","-940400000","9.8","2004","2021","2004","2021","2004","2021","2005","2007"
"BROWN RIVER","NUNAVUT","2301331","10971","","WBR","66.03","-91.83","660200000","-915000000","150","1994","2004","1994","2001","1994","2004","1996","2001"
"GJOA HAVEN A","NUNAVUT","2302335","1715","","YHK","68.64","-95.85","683808000","-955101000","46.9","1984","2014","1984","2013","1984","2014","1984","2007"
"GJOA HAVEN A","NUNAVUT","2302336","51082","","YHK","68.64","-95.85","683808000","-955101000","46.9","2013","2021","2013","2021","","","",""
"GJOA HAVEN A","NUNAVUT","2302337","51079","71597","YHK","68.64","-95.85","683808000","-955101000","46.9","2013","2021","2013","2021","2013","2021","",""
"GJOA HAVEN AWOS A","NUNAVUT","2302338","31268","","YHK","68.64","-95.85","683808000","-955101000","46.94","2008","2013","2008","2013","","","",""
"GJOA HAVEN CLIMATE","NUNAVUT","2302340","41943","71363","ZHK","68.64","-95.85","683808000","-955101000","42.3","2003","2021","2003","2021","2003","2021","2003","2007"
"HARDING RIVER","NUNAVUT","2302353","10827","","","68.84","-117","685007000","-1165958000","89.7","1992","1993","1992","1993","1993","1993","",""
"HAT ISLAND","NUNAVUT","2302370","1716","71084","WIL","68.32","-100.09","681905000","-1000513000","36.1","1959","2021","1994","2021","1959","2021","1959","2007"
"HUDSON BAY SITE 1","NUNAVUT","2302530","7344","","","58.5","-87.17","583000000","-871000000","21","1974","1974","1974","1974","","","",""
"HUDSON BAY SITE 2","NUNAVUT","2302531","7345","","","58.5","-86.78","583000000","-864700000","21","1974","1974","1974","1974","","","",""
"HUDSON BAY SITE 3","NUNAVUT","2302532","7346","","","58.02","-84.3","580100000","-841800000","21","1974","1974","1974","1974","","","",""
"JENNY LIND ISLAND","NUNAVUT","2302649","10829","","","68.75","-101.85","684458000","-1015110000","78.5","1992","1993","1992","1993","1993","1993","",""
"JENNY LIND ISLAND A","NUNAVUT","2302650","1717","71071","YUQ","68.65","-101.73","683900000","-1014400000","18.3","1957","1992","1973","1992","1957","1992","1957","1992"
"LADY FRANKLIN POINT A","NUNAVUT","2302680","1675","71937","YUJ","68.5","-113.22","683000000","-1131300000","15.9","1957","2000","1973","2000","1957","2000","1957","1993"
"LUPIN (AUT)","NUNAVUT","2302685","8941","","","65.77","-111.23","654600000","-1111400000","499.6","1993","1995","1994","1995","1993","1995","",""
"LUPIN A","NUNAVUT","23026HN","1671","","YWO","65.76","-111.25","654533000","-1111500000","490.1","1982","2006","1982","2006","1982","2006","1982","2006"
"PELLY BAY","NUNAVUT","2303090","1718","","WKE","68.43","-89.72","682600000","-894300000","325.8","1955","1992","1955","1992","1957","1992","1957","1992"
"KUGAARUK A","NUNAVUT","2303091","53515","","YBB","68.54","-89.81","683209000","-894819000","15.5","2015","2021","2015","2021","","","",""
"KUGAARUK A","NUNAVUT","2303092","1719","","YBB","68.54","-89.8","683226000","-894750000","15.54","1984","2015","1984","2015","1984","2012","1984","2007"
"PELLY BAY","NUNAVUT","2303093","10847","71918","WRF","68.44","-89.73","682613000","-894333000","324.45","1994","2021","1994","2021","1994","2021","2005","2007"
"KUGAARUK CLIMATE","NUNAVUT","2303094","43006","71407","NBB","68.54","-89.8","683215060","-894747020","15.8","2004","2021","2004","2021","2004","2021","2007","2007"
"KUGAARUK A","NUNAVUT","2303095","53518","","YBB","68.54","-89.81","683209000","-894819000","15.5","2015","2021","2015","2021","2018","2021","",""
"RANKIN INLET","NUNAVUT","2303400","1720","","","62.8","-92.07","624800000","-920400000","30.5","1954","1962","","","1954","1962","1954","1954"
"RANKIN INLET A","NUNAVUT","2303401","1721","71083","YRT","62.82","-92.12","624900000","-920700000","32.31","1981","2013","1981","2013","1981","2013","1981","2013"
"RANKIN INLET ARTC","NUNAVUT","2303403","1722","","","62.82","-92.08","624900000","-920500000","13.7","1976","1976","","","1976","1976","1976","1976"
"RANKIN INLET A","NUNAVUT","2303405","51277","71083","YRT","62.81","-92.11","624838000","-920653000","32.3","2013","2021","2013","2021","2013","2021","",""
"ROBERTSON LAKE (AUT)","NUNAVUT","2303610","7337","71490","WTD","65.1","-102.43","650559000","-1022546000","243.7","1992","2021","1992","2021","1994","2021","1998","2007"
"ROSS POINT","NUNAVUT","2303616","1692","","","68.58","-111.1","683500000","-1110600000","148.7","1959","1963","","","1959","1963","1959","1963"
"SANIKILUAQ A","NUNAVUT","2303660","53336","","YSK","56.54","-79.25","563213000","-791500000","33.5","2014","2021","2014","2021","2018","2021","",""
"SANIKILUAQ A","NUNAVUT","2303666","53337","","YSK","56.54","-79.25","563213000","-791500000","33.5","2014","2021","2014","2021","","","",""
"SANIKILUAQ A","NUNAVUT","2303667","8274","","YSK","56.54","-79.25","563209000","-791449000","33.53","1988","2014","1988","2014","","","",""
"SANIKILUAQ","NUNAVUT","2303668","52658","71643","NSQ","56.54","-79.26","563214460","-791537074","34","2014","2021","2014","2021","2014","2021","",""
"SHEPHERD BAY A","NUNAVUT","2303685","1723","71911","YUS","68.82","-93.43","684900000","-932600000","42.7","1957","2021","1973","2021","1957","2021","1957","2006"
"SIMPSON LAKE","NUNAVUT","2303693","10833","","","68.6","-91.95","683600000","-915700000","282.5","1992","1993","1992","1993","1993","1993","",""
"SIMPSON LAKE","NUNAVUT","2303694","1724","","","68.6","-92.02","683600000","-920100000","371.2","1959","1963","","","1959","1963","1959","1963"
"STURT POINT","NUNAVUT","2303830","1725","","","68.78","-103.35","684700000","-1032100000","19.5","1959","1963","","","1959","1963","1959","1963"
"STURT POINT NORTH","NUNAVUT","2303831","10832","","","68.97","-103.77","685800000","-1034600000","106","1992","1993","1992","1993","1993","1993","",""
"WHALE COVE","NUNAVUT","2303985","1726","","","62.18","-92.6","621100000","-923600000","6.1","1974","1984","","","1974","1984","1974","1984"
"WHALE COVE A","NUNAVUT","2303986","1727","","YXN","62.24","-92.6","621424000","-923553000","12.19","1984","2014","1984","2013","1985","2014","1985","2007"
"WHALE COVE A","NUNAVUT","2303987","51443","","YXN","62.24","-92.6","621424000","-923553000","12.2","2013","2021","2013","2021","","","",""
"WHALE COVE A","NUNAVUT","2303990","52984","","YXN","62.24","-92.6","621424000","-923553000","12.2","2014","2021","2014","2021","2018","2021","",""
"YATHKYED LAKE (AUT)","NUNAVUT","2304058","10803","","WJY","62.71","-98.29","624222000","-981718000","148.2","1993","2004","1993","2004","1993","2004","1998","2004"
"MALLOCH DOME (AUT)","NUNAVUT","230BF86","7338","","WCN","78.22","-101.05","781300000","-1010300000","12","1981","1983","1981","1983","","","",""
"CROKER RIVER","NUNAVUT","230J01Q","10826","71059","WXR","69.28","-119.22","691632000","-1191308000","69.4","1993","2021","1994","2021","1993","2021","2005","2007"
"DUBAWNT LAKE (AUT)","NUNAVUT","230J048","10802","","WJZ","63.23","-101.76","631336000","-1014544000","237.4","1993","2005","1994","2005","1993","2005","1998","2005"
"GJOA HAVEN","NUNAVUT","230KLLM","10830","","","68.66","-95.87","683941000","-955211000","51.1","1992","1993","1992","1993","1992","1993","",""
"LUPIN CS","NUNAVUT","230N002","27376","71470","WIJ","65.76","-111.25","654519050","-1111445030","488","1997","2021","1997","2021","1997","2021","2004","2007"
"ALERT","NUNAVUT","2400300","1731","","WLT","82.52","-62.28","823104000","-621650000","30.48","1950","2006","1953","2006","1950","2006","1950","2006"
"ALERT A","NUNAVUT","2400302","7559","","YLT","82.52","-62.28","823100000","-621700000","30.5","1988","2021","1988","2021","","","",""
"ALERT BASE (AUT)","NUNAVUT","2400304","7350","","WML","82.5","-62.37","823000000","-622200000","92","1983","1986","1983","1986","","","",""
"ALERT CLIMATE","NUNAVUT","2400305","42463","71355","ZLT","82.5","-62.33","823000000","-622000000","65.4","2004","2021","2004","2021","2004","2021","2005","2007"
"ALERT UA","NUNAVUT","2400306","10744","71082","","82.5","-62.33","823000000","-622000000","65.4","1997","2021","","","1997","2021","1997","2007"
"ARCTIC BAY","NUNAVUT","2400399","48973","","YAB","73.01","-85.05","730023000","-850250000","21.95","2011","2021","2011","2021","2018","2021","",""
"ARCTIC BAY","NUNAVUT","2400400","1732","","","73.03","-85.15","730200000","-850900000","11.3","1937","1976","1953","1976","1937","1976","1937","1976"
"ARCTIC BAY A","NUNAVUT","2400401","50497","","YAB","73.01","-85.05","730023000","-850250000","21.9","2012","2021","2012","2021","","","",""
"ARCTIC BAY A","NUNAVUT","2400402","49328","","YAB","73.01","-85.05","730023000","-850250000","21.95","2011","2012","2011","2012","","","",""
"ARCTIC BAY CS","NUNAVUT","2400404","29517","71592","XAT","72.99","-85.01","725934000","-850044000","10","1999","2021","2000","2021","1999","2021","1999","2007"
"BATHURST ISLAND","NUNAVUT","2400552","1733","","","75.72","-98.42","754300000","-982500000","3","1971","1979","","","1971","1979","1971","1979"
"BLACK TOP RIDGE (AUT)","NUNAVUT","2400559","7351","","WQN","80","-85.42","800000000","-852500000","619","1983","1986","1983","1986","","","",""
"BRAY ISLAND","NUNAVUT","2400560","1734","","","69.22","-77.25","691326000","-771449000","17.7","1959","1995","1995","1995","1959","1993","1959","1963"
"BRAY ISLAND","NUNAVUT","2400561","54779","73232","FOX","69.22","-77.23","691326000","-771349000","15.2","2021","2021","2021","2021","2021","2021","",""
"BREVOORT ISLAND","NUNAVUT","2400565","1735","71097","WOB","63.34","-64.15","632023000","-640845000","376","1959","2021","1960","2021","1959","2021","1959","2007"
"BROUGHTON ISLAND","NUNAVUT","2400570","1736","71096","WVD","67.54","-63.79","673208000","-634720000","584.4","1956","2021","1956","2021","1957","2021","1957","2007"
"QIKIQTARJUAQ AWOS","NUNAVUT","2400571","47428","71338","YVM","67.55","-64.03","673245000","-640153000","5.5","2008","2013","2008","2013","2008","2013","",""
"QIKIQTARJUAQ A","NUNAVUT","2400572","8271","71338","YVM","67.55","-64.03","673245000","-640153000","5.5","1988","2016","1988","2013","1994","2016","1994","2007"
"QIKIQTARJUAQ CLIMATE","NUNAVUT","2400573","42803","71357","ZVM","67.55","-64.03","673250700","-640200400","6.4","2005","2021","2005","2021","2005","2021","2005","2007"
"BROUGHTON VILLAGE","NUNAVUT","2400574","1737","","","67.55","-64.03","673300000","-640200000","9.1","1971","1974","","","1971","1974","1971","1974"
"QIKIQTARJUAQ A","NUNAVUT","2400576","51177","","YVM","67.55","-64.03","673248000","-640154000","4.9","2013","2021","2013","2021","","","",""
"QIKIQTARJUAQ A","NUNAVUT","2400577","51218","","YVM","67.55","-64.03","673248000","-640154000","5.5","2013","2021","2013","2021","2013","2021","",""
"BYRON BAY A","NUNAVUT","2400595","1785","71929","YUK","68.75","-109.07","684500000","-1090400000","92.1","1955","1994","1955","1994","1957","1993","1957","1993"
"CAMBRIDGE BAY A","NUNAVUT","2400600","1786","71925","YCB","69.11","-105.14","690629000","-1050818000","31.09","1929","2015","1953","2015","1929","2015","1929","2015"
"CAMBRIDGE BAY A","NUNAVUT","2400601","53512","71925","YCB","69.11","-105.14","690629000","-1050814000","31.1","2015","2021","2015","2021","2015","2021","",""
"CAMBRIDGE BAY GSN","NUNAVUT","2400602","32233","71288","XCM","69.11","-105.14","690629000","-1050818000","18.69","2002","2021","2002","2021","2002","2021","2002","2007"
"CAMBRIDGE BAY A","NUNAVUT","2400603","54139","","YCB","69.11","-105.14","690629000","-1050814000","31.1","2016","2021","2016","2021","2018","2021","",""
"CAPE DORSET A","NUNAVUT","2400633","50288","","YTE","64.23","-79.53","641349000","-793130000","48.2","2012","2021","2012","2021","","","",""
"CAPE DORSET AWOS","NUNAVUT","2400634","47447","71910","YTE","64.23","-76.53","641348000","-763136000","48.2","2008","2012","2008","2012","2008","2012","",""
"CAPE DORSET A","NUNAVUT","2400635","1738","71910","YTE","64.23","-76.53","641349000","-763130000","48.2","1963","2014","1970","2012","1963","2014","1963","2007"
"KINNGAIT","NUNAVUT","2400636","43163","71575","NCD","64.23","-76.53","641350700","-763149600","50","2005","2021","2005","2021","2005","2021","2005","2007"
"CAPE DORSET A","NUNAVUT","2400637","50328","71366","YTE","64.23","-76.53","641349000","-763130000","48.2","2012","2021","2012","2021","2012","2021","",""
"CAPE DYER","NUNAVUT","2400650","1739","71094","WFD","66.65","-61.38","663900000","-612300000","725.1","1955","2021","1955","2021","1958","2021","1958","1959"
"CAPE DYER A","NUNAVUT","2400654","1740","","","66.58","-61.62","663500000","-613700000","392.6","1959","1994","1959","1994","1959","1993","1959","1993"
"CAPE HERSCHEL","NUNAVUT","2400658","1741","","","78.62","-74.7","783700000","-744200000","60","1973","1974","1973","1974","1973","1974","1973","1974"
"CAPE HOOPER","NUNAVUT","2400660","1742","71093","WUP","68.47","-66.8","682821000","-664755000","390.1","1956","2021","1956","2021","1957","2021","1957","2007"
"CAPE LIVERPOOL","NUNAVUT","2400675","51618","","NPL","73.67","-78.29","734005030","-781736070","2","2013","2021","2013","2021","2017","2021","",""
"CAPE PEEL WEST","NUNAVUT","2400697","10828","71064","WPX","69.04","-107.82","690209000","-1074923000","165.3","1993","2021","1994","2021","1993","2021","",""
"CAPE MCLAUGHLIN","NUNAVUT","24006FL","10834","","","68.66","-85.59","683953000","-853529000","383.2","1992","1993","1992","1993","","","",""
"CLYDE A","NUNAVUT","2400800","1743","71090","YCY","70.49","-68.52","702910000","-683100000","26.5","1933","2013","1953","2013","1933","2008","1933","2007"
"CLYDE AWOS","NUNAVUT","2400801","47387","71090","YCY","70.49","-68.52","702910000","-683100000","26.5","2008","2013","2008","2013","2008","2013","",""
"CLYDE RIVER CLIMATE","NUNAVUT","2400802","42244","71358","ZCY","70.48","-68.52","702900000","-683100000","26.5","2004","2021","2004","2021","2004","2021","2005","2007"
"CLYDE RIVER A","NUNAVUT","2400803","51078","","YCY","70.49","-68.52","702909000","-683101000","26.5","2013","2021","2013","2021","","","",""
"CLYDE RIVER A","NUNAVUT","2400804","51077","71090","YCY","70.49","-68.52","702909000","-683101000","26.5","2013","2021","2013","2021","2013","2021","",""
"COBURG ISLAND","NUNAVUT","2400815","1744","","","75.92","-79","755500000","-790000000","3","1972","1974","1972","1974","1972","1974","1972","1974"
"CAPE MERCY","NUNAVUT","2400F63","10839","71975","WYM","64.96","-63.58","645728000","-633440000","582.6","1994","2018","1994","2018","1994","2018","2005","2007"
"DEVON ISLAND","NUNAVUT","2401025","1745","","","74.67","-84.67","744000000","-844000000","","1961","1962","","","1961","1962","",""
"DEWAR LAKES","NUNAVUT","2401030","1746","71092","WUW","68.65","-71.17","683900000","-711000000","526.7","1956","2021","1956","2021","1958","2021","1958","2007"
"DUNDAS HARBOUR","NUNAVUT","2401050","1747","","","74.53","-82.38","743200000","-822300000","4.6","1930","1950","","","1930","1950","1930","1950"
"DURBAN ISLAND","NUNAVUT","2401060","1748","","","67.1","-62.15","670600000","-620900000","664.5","1960","1963","","","1960","1963","1960","1963"
"EAST DRAKE","NUNAVUT","2401070","8951","","","76.42","-107.82","762500000","-1074900000","0","1974","1975","1974","1975","","","",""
"EDINBURGH ISLAND","NUNAVUT","2401087","10831","","","68.49","-110.88","682910000","-1105254000","193.8","1992","1993","1992","1993","1993","1993","",""
"EKALUGAD FIORD","NUNAVUT","2401090","1749","","","68.72","-68.55","684300000","-683300000","723.9","1959","1963","","","1959","1963","1959","1963"
"EUREKA CLIMATE","NUNAVUT","2401199","50737","71613","NEK","79.99","-85.93","795921000","-855602000","10","2013","2021","2013","2021","2015","2021","",""
"EUREKA A","NUNAVUT","2401200","1750","71917","WEU","79.98","-85.93","795900000","-855600000","10.4","1947","2016","1953","2016","1947","2016","1947","2016"
"EUREKA A","NUNAVUT","2401203","53598","71917","WEU","79.99","-85.81","795940000","-854843000","82.9","2016","2021","2016","2021","2016","2018","",""
"EUREKA A","NUNAVUT","2401208","53599","","WEU","79.99","-85.81","795940000","-854843000","82.9","2016","2021","2016","2021","2018","2021","",""
"FORT ROSS","NUNAVUT","2402050","1751","","","71.92","-94.25","715500000","-941500000","15.2","1937","1948","","","1937","1948","1938","1948"
"FORT ROSS","NUNAVUT","2402051","50658","71629","NFR","72.02","-94.2","720104060","-941152020","10","2012","2021","2012","2021","2012","2021","",""
"GATESHEAD ISLAND","NUNAVUT","2402332","49828","71141","NGH","70.63","-100.27","703758000","-1001602000","20","2011","2021","2011","2021","2011","2021","",""
"GRISE FIORD A","NUNAVUT","2402338","53513","","WGZ","76.43","-82.91","762533000","-825429000","41.1","2015","2021","2015","2021","","","",""
"GLADMAN POINT","NUNAVUT","2402339","10904","","","68.68","-97.81","684049000","-974841000","","1992","1993","1992","1993","1992","1993","",""
"GLADMAN POINT A","NUNAVUT","2402340","1752","","","68.67","-97.8","684000000","-974800000","14","1955","1992","1955","1992","1957","1992","1957","1992"
"GRANT (AUT)","NUNAVUT","2402343","7352","","WWM","82.5","-65.08","823000000","-650500000","1242.1","1983","1984","1983","1984","","","",""
"GRISE FIORD","NUNAVUT","2402345","1753","","","76.42","-82.95","762500000","-825700000","1.5","1973","1977","","","1973","1977","1973","1977"
"GRISE FIORD","NUNAVUT","2402346","1754","","WGZ","76.42","-82.9","762500000","-825400000","42.67","1984","2015","1984","2015","1984","2015","1984","2007"
"HALL BEACH A","NUNAVUT","2402350","1755","71081","YUX","68.78","-81.24","684633000","-811433000","9.1","1956","2014","1956","2012","1957","2014","1957","2007"
